Date, Adj Close 
02/06/2020,58.77
03/06/2020,58.86
04/06/2020,57.63
05/06/2020,59.04
08/06/2020,63.33
09/06/2020,62.71
10/06/2020,68.34
11/06/2020,64.86
12/06/2020,62.35
15/06/2020,66.06
16/06/2020,65.48
17/06/2020,66.12
18/06/2020,66.93
19/06/2020,66.73
22/06/2020,66.29
23/06/2020,66.79
24/06/2020,64.06
25/06/2020,65.73
26/06/2020,63.98
29/06/2020,67.29
30/06/2020,71.99
01/07/2020,74.64
02/07/2020,80.58
06/07/2020,91.44
07/07/2020,92.66
08/07/2020,91.06
09/07/2020,92.95
10/07/2020,102.98
13/07/2020,99.8
14/07/2020,101.12
15/07/2020,103.07
16/07/2020,100.04
17/07/2020,100.06
20/07/2020,109.53
21/07/2020,104.56
22/07/2020,106.16
23/07/2020,100.87
24/07/2020,94.47
27/07/2020,102.64
28/07/2020,98.43
29/07/2020,99.94
30/07/2020,99.17
31/07/2020,95.38
03/08/2020,99
04/08/2020,99.13
05/08/2020,99
06/08/2020,99.31
07/08/2020,96.85
10/08/2020,94.57
11/08/2020,91.63
12/08/2020,103.65
13/08/2020,108.07
14/08/2020,110.05
17/08/2020,122.38
18/08/2020,125.81
19/08/2020,125.24
20/08/2020,133.46
21/08/2020,136.67
24/08/2020,134.28
25/08/2020,134.89
26/08/2020,143.54
27/08/2020,149.25
28/08/2020,147.56
31/08/2020,166.11
01/09/2020,158.35
02/09/2020,149.12
03/09/2020,135.67
04/09/2020,139.44
08/09/2020,110.07
09/09/2020,122.09
10/09/2020,123.78
11/09/2020,124.24
14/09/2020,139.87
15/09/2020,149.92
16/09/2020,147.25
17/09/2020,141.14
18/09/2020,147.38
21/09/2020,149.8
22/09/2020,141.41
23/09/2020,126.79
24/09/2020,129.26
25/09/2020,135.78
28/09/2020,140.4
29/09/2020,139.69
30/09/2020,143
01/10/2020,149.39
02/10/2020,138.36
05/10/2020,141.89
06/10/2020,137.99
07/10/2020,141.77
08/10/2020,141.97
09/10/2020,144.67
12/10/2020,147.43
13/10/2020,148.88
14/10/2020,153.77
15/10/2020,149.63
16/10/2020,146.56
19/10/2020,143.61
20/10/2020,140.65
21/10/2020,140.88
22/10/2020,141.93
23/10/2020,140.21
26/10/2020,140.09
27/10/2020,141.56
28/10/2020,135.34
29/10/2020,136.94
30/10/2020,129.35
02/11/2020,133.5
03/11/2020,141.3
04/11/2020,140.33
05/11/2020,146.03
06/11/2020,143.32
09/11/2020,140.42
10/11/2020,136.79
11/11/2020,139.04
12/11/2020,137.25
13/11/2020,136.17
16/11/2020,136.03
17/11/2020,147.2
18/11/2020,162.21
19/11/2020,166.42
20/11/2020,163.2
23/11/2020,173.95
24/11/2020,185.13
25/11/2020,191.33
27/11/2020,195.25
30/11/2020,189.2
01/12/2020,194.92
02/12/2020,189.61
03/12/2020,197.79
04/12/2020,199.68
07/12/2020,213.92
08/12/2020,216.63
09/12/2020,201.49
10/12/2020,209.02
11/12/2020,203.33
14/12/2020,213.28
15/12/2020,211.08
16/12/2020,207.59
17/12/2020,218.63
18/12/2020,231.67
21/12/2020,216.62
22/12/2020,213.45
23/12/2020,215.33
24/12/2020,220.59
28/12/2020,221.23
29/12/2020,222
30/12/2020,231.59
31/12/2020,235.22
04/01/2021,243.26
05/01/2021,245.04
06/01/2021,251.99
07/01/2021,272.01
08/01/2021,293.34
11/01/2021,270.4
12/01/2021,283.15
13/01/2021,284.8
14/01/2021,281.67
15/01/2021,275.39
19/01/2021,281.52
20/01/2021,283.48
21/01/2021,281.66
22/01/2021,282.21
25/01/2021,293.6
26/01/2021,294.36
27/01/2021,288.05
28/01/2021,278.48
29/01/2021,264.51
01/02/2021,279.94
02/02/2021,290.93
03/02/2021,284.9
04/02/2021,283.33
05/02/2021,284.08
08/02/2021,287.81
09/02/2021,283.15
10/02/2021,268.27
11/02/2021,270.55
12/02/2021,272.04
16/02/2021,265.41
17/02/2021,266.05
18/02/2021,262.46
19/02/2021,260.43
22/02/2021,238.17
23/02/2021,232.95
24/02/2021,247.34
25/02/2021,227.41
26/02/2021,225.17
01/03/2021,239.48
02/03/2021,228.81
03/03/2021,217.73
04/03/2021,207.15
05/03/2021,199.32
08/03/2021,187.67
09/03/2021,224.53
10/03/2021,222.69
11/03/2021,233.2
12/03/2021,231.24
15/03/2021,235.98
16/03/2021,225.63
17/03/2021,233.94
18/03/2021,217.72
19/03/2021,218.29
22/03/2021,223.33
23/03/2021,220.72
24/03/2021,210.09
25/03/2021,213.46
26/03/2021,206.24
29/03/2021,203.76
30/03/2021,211.87
31/03/2021,222.64
01/04/2021,220.58
05/04/2021,230.35
06/04/2021,230.54
07/04/2021,223.66
08/04/2021,227.93
09/04/2021,225.67
12/04/2021,233.99
13/04/2021,254.11
14/04/2021,244.08
15/04/2021,246.28
16/04/2021,246.59
19/04/2021,238.21
20/04/2021,239.66
21/04/2021,248.04
22/04/2021,239.9
23/04/2021,243.13
26/04/2021,246.07
27/04/2021,234.91
28/04/2021,231.47
29/04/2021,225.67
30/04/2021,236.48
03/05/2021,228.3
04/05/2021,224.53
05/05/2021,223.65
06/05/2021,221.18
07/05/2021,224.12
10/05/2021,209.68
11/05/2021,205.73
12/05/2021,196.63
13/05/2021,190.56
14/05/2021,196.58
17/05/2021,192.28
18/05/2021,192.62
19/05/2021,187.82
20/05/2021,195.59
21/05/2021,193.63
24/05/2021,202.15
25/05/2021,201.56
26/05/2021,206.38
27/05/2021,210.28
28/05/2021,208.41
01/06/2021,207.97
02/06/2021,201.71
03/06/2021,190.95
04/06/2021,199.68
07/06/2021,201.71
08/06/2021,201.2
09/06/2021,199.59
10/06/2021,203.37
11/06/2021,203.3
14/06/2021,205.9
15/06/2021,199.79
16/06/2021,201.62
17/06/2021,205.53
18/06/2021,207.77
21/06/2021,206.94
22/06/2021,207.9
23/06/2021,218.86
24/06/2021,226.61
25/06/2021,223.96
28/06/2021,229.57
29/06/2021,226.92
30/06/2021,226.57
01/07/2021,225.97
02/07/2021,226.3
06/07/2021,219.86
07/07/2021,214.88
08/07/2021,217.6
09/07/2021,218.98
12/07/2021,228.57
13/07/2021,222.85
14/07/2021,217.79
15/07/2021,216.87
16/07/2021,214.74
19/07/2021,215.41
20/07/2021,220.17
21/07/2021,218.43
22/07/2021,216.42
23/07/2021,214.46
26/07/2021,219.21
27/07/2021,214.93
28/07/2021,215.66
29/07/2021,225.78
30/07/2021,229.07
02/08/2021,236.56
03/08/2021,236.58
04/08/2021,236.97
05/08/2021,238.21
06/08/2021,233.03
09/08/2021,237.92
10/08/2021,236.66
11/08/2021,235.94
12/08/2021,240.75
13/08/2021,239.06
16/08/2021,228.72
17/08/2021,221.9
18/08/2021,229.66
19/08/2021,224.49
20/08/2021,226.75
23/08/2021,235.43
24/08/2021,236.16
25/08/2021,237.07
26/08/2021,233.72
27/08/2021,237.31
30/08/2021,243.64
31/08/2021,245.24
01/09/2021,244.7
02/09/2021,244.13
03/09/2021,244.52
07/09/2021,250.97
08/09/2021,251.29
09/09/2021,251.62
10/09/2021,245.42
13/09/2021,247.67
14/09/2021,248.16
15/09/2021,251.94
16/09/2021,252.33
17/09/2021,253.16
20/09/2021,243.39
21/09/2021,246.46
22/09/2021,250.65
23/09/2021,251.21
24/09/2021,258.13
27/09/2021,263.79
28/09/2021,259.19
29/09/2021,260.44
30/09/2021,258.49
01/10/2021,258.41
04/10/2021,260.51
05/10/2021,260.2
06/10/2021,260.92
07/10/2021,264.54
08/10/2021,261.83
11/10/2021,263.98
12/10/2021,268.57
13/10/2021,270.36
14/10/2021,272.77
15/10/2021,281.01
18/10/2021,290.04
19/10/2021,288.09
20/10/2021,288.6
21/10/2021,298
22/10/2021,303.23
25/10/2021,341.62
26/10/2021,339.48
27/10/2021,345.95
28/10/2021,359.01
29/10/2021,371.33
01/11/2021,402.86
02/11/2021,390.67
03/11/2021,404.62
04/11/2021,409.97
05/11/2021,407.36
08/11/2021,387.65
09/11/2021,341.17
10/11/2021,355.98
11/11/2021,354.5
12/11/2021,344.47
15/11/2021,337.8
16/11/2021,351.58
17/11/2021,363
18/11/2021,365.46
19/11/2021,379.02
22/11/2021,385.62
23/11/2021,369.68
24/11/2021,372
26/11/2021,360.64
29/11/2021,379
30/11/2021,381.59
01/12/2021,365
02/12/2021,361.53
03/12/2021,338.32
06/12/2021,336.34
07/12/2021,350.58
08/12/2021,356.32
09/12/2021,334.6
10/12/2021,339.01
13/12/2021,322.14
14/12/2021,319.5
15/12/2021,325.33
16/12/2021,308.97
17/12/2021,310.86
20/12/2021,299.98
21/12/2021,312.84
22/12/2021,336.29
23/12/2021,355.67
27/12/2021,364.65
28/12/2021,362.82
29/12/2021,362.06
30/12/2021,356.78
31/12/2021,352.26
03/01/2022,399.93
04/01/2022,383.2
05/01/2022,362.71
06/01/2022,354.9
07/01/2022,342.32
10/01/2022,352.71
11/01/2022,354.8
12/01/2022,368.74
13/01/2022,343.85
14/01/2022,349.87
18/01/2022,343.5
19/01/2022,331.88
20/01/2022,332.09
21/01/2022,314.63
24/01/2022,310
25/01/2022,306.13
26/01/2022,312.47
27/01/2022,276.37
28/01/2022,282.12
31/01/2022,312.24
01/02/2022,310.42
02/02/2022,301.89
03/02/2022,297.05
04/02/2022,307.77
07/02/2022,302.45
08/02/2022,307.33
09/02/2022,310.67
10/02/2022,301.52
11/02/2022,286.67
14/02/2022,291.92
15/02/2022,307.48
16/02/2022,307.8
17/02/2022,292.12
18/02/2022,285.66
22/02/2022,273.84
23/02/2022,254.68
24/02/2022,266.92
25/02/2022,269.96
28/02/2022,290.14
01/03/2022,288.12
02/03/2022,293.3
03/03/2022,279.76
04/03/2022,279.43
07/03/2022,268.19
08/03/2022,274.8
09/03/2022,286.32
10/03/2022,279.43
11/03/2022,265.12
14/03/2022,255.46
15/03/2022,267.3
16/03/2022,280.08
17/03/2022,290.53
18/03/2022,301.8
21/03/2022,307.05
22/03/2022,331.33
23/03/2022,333.04
24/03/2022,337.97
25/03/2022,336.88
28/03/2022,363.95
29/03/2022,366.52
30/03/2022,364.66
31/03/2022,359.2
01/04/2022,361.53
04/04/2022,381.82
05/04/2022,363.75
06/04/2022,348.59
07/04/2022,352.42
08/04/2022,341.83
11/04/2022,325.31
12/04/2022,328.98
13/04/2022,340.79
14/04/2022,328.33
18/04/2022,334.76
19/04/2022,342.72
20/04/2022,325.73
21/04/2022,336.26
22/04/2022,335.02
25/04/2022,332.67
26/04/2022,292.14
27/04/2022,293.84
28/04/2022,292.5
29/04/2022,290.25
02/05/2022,300.98
03/05/2022,303.08
04/05/2022,317.54
05/05/2022,291.09
06/05/2022,288.55
09/05/2022,262.37
10/05/2022,266.68
11/05/2022,244.67
12/05/2022,242.67
13/05/2022,256.53
16/05/2022,241.46
17/05/2022,253.87
18/05/2022,236.6
19/05/2022,236.47
20/05/2022,221.3
23/05/2022,224.97
24/05/2022,209.39
25/05/2022,219.6
26/05/2022,235.91
27/05/2022,253.21
31/05/2022,252.75
01/06/2022,246.79
02/06/2022,258.33
03/06/2022,234.52
06/06/2022,238.28
07/06/2022,238.89
08/06/2022,241.87
09/06/2022,239.71
10/06/2022,232.23
13/06/2022,215.74
14/06/2022,220.89
15/06/2022,233
16/06/2022,213.1
17/06/2022,216.76
21/06/2022,237.04
22/06/2022,236.09
23/06/2022,235.07
24/06/2022,245.71
27/06/2022,244.92
28/06/2022,232.66
29/06/2022,228.49
30/06/2022,224.47
01/07/2022,227.26
05/07/2022,233.07
06/07/2022,231.73
07/07/2022,244.54
08/07/2022,250.76
11/07/2022,234.34
12/07/2022,233.07
13/07/2022,237.04
14/07/2022,238.31
15/07/2022,240.07
18/07/2022,240.55
19/07/2022,245.53
20/07/2022,247.5
21/07/2022,271.71
22/07/2022,272.24
25/07/2022,268.43
26/07/2022,258.86
27/07/2022,274.82
28/07/2022,280.9
29/07/2022,297.15
01/08/2022,297.28
02/08/2022,300.59
03/08/2022,307.4
04/08/2022,308.63
05/08/2022,288.17
08/08/2022,290.42
09/08/2022,283.33
10/08/2022,294.36
11/08/2022,286.63
12/08/2022,300.03
15/08/2022,309.32
16/08/2022,306.56
17/08/2022,304
18/08/2022,302.87
19/08/2022,296.67
22/08/2022,289.91
23/08/2022,296.45
24/08/2022,297.1
25/08/2022,296.07
26/08/2022,288.09
29/08/2022,284.82
30/08/2022,277.7
31/08/2022,275.61
01/09/2022,277.16
02/09/2022,270.21
06/09/2022,274.42
07/09/2022,283.7
08/09/2022,289.26
09/09/2022,299.68
12/09/2022,304.42
13/09/2022,292.13
14/09/2022,302.61
15/09/2022,303.75
16/09/2022,303.35
19/09/2022,309.07
20/09/2022,308.73
21/09/2022,300.8
22/09/2022,288.59
23/09/2022,275.33
26/09/2022,276.01
27/09/2022,282.94
28/09/2022,287.81
29/09/2022,268.21
30/09/2022,265.25
03/10/2022,242.4
04/10/2022,249.44
05/10/2022,240.81
06/10/2022,238.13
07/10/2022,223.07
10/10/2022,222.96
11/10/2022,216.5
12/10/2022,217.24
13/10/2022,221.72
14/10/2022,204.99
17/10/2022,219.35
18/10/2022,220.19
19/10/2022,222.04
20/10/2022,207.28
21/10/2022,214.44
24/10/2022,211.25
25/10/2022,222.42
26/10/2022,224.64
27/10/2022,225.09
28/10/2022,228.52
31/10/2022,227.54
01/11/2022,227.82
02/11/2022,214.98
03/11/2022,215.31
04/11/2022,207.47
07/11/2022,197.08
08/11/2022,191.3
09/11/2022,177.59
10/11/2022,190.72
11/11/2022,195.97
14/11/2022,190.95
15/11/2022,194.42
16/11/2022,186.92
17/11/2022,183.17
18/11/2022,180.19
21/11/2022,167.87
22/11/2022,169.91
23/11/2022,183.2
25/11/2022,182.86
28/11/2022,182.92
29/11/2022,180.83
30/11/2022,194.7
01/12/2022,194.7
02/12/2022,194.86
05/12/2022,182.45
06/12/2022,179.82
07/12/2022,174.04
08/12/2022,173.44
09/12/2022,179.05
12/12/2022,167.82
13/12/2022,160.95
14/12/2022,156.8
15/12/2022,157.67
16/12/2022,150.23
19/12/2022,149.87
20/12/2022,137.8
21/12/2022,137.57
22/12/2022,125.35
23/12/2022,123.15
27/12/2022,109.1
28/12/2022,112.71
29/12/2022,121.82
30/12/2022,123.18
