Date, Open , High , Low , Close , Adj_Close , Volume 
25/08/2021, 235.68 , 238.99 , 234.67 , 237.07 , 237.07 ," 37,936,800.00 "
26/08/2021, 236.10 , 238.47 , 232.54 , 233.72 , 233.72 ," 39,642,900.00 "
27/08/2021, 235.00 , 238.33 , 234.03 , 237.31 , 237.31 ," 41,501,400.00 "
30/08/2021, 238.24 , 243.67 , 237.58 , 243.64 , 243.64 ," 55,812,600.00 "
31/08/2021, 244.33 , 246.80 , 242.15 , 245.24 , 245.24 ," 62,566,200.00 "
01/09/2021, 244.69 , 247.33 , 243.76 , 244.70 , 244.70 ," 39,612,900.00 "
02/09/2021, 244.83 , 246.99 , 243.51 , 244.13 , 244.13 ," 38,331,900.00 "
03/09/2021, 244.08 , 244.67 , 241.40 , 244.52 , 244.52 ," 45,738,300.00 "
07/09/2021, 246.67 , 253.40 , 246.42 , 250.97 , 250.97 ," 60,119,400.00 "
08/09/2021, 253.86 , 254.82 , 246.92 , 251.29 , 251.29 ," 56,379,000.00 "
09/09/2021, 251.14 , 254.03 , 250.54 , 251.62 , 251.62 ," 42,233,100.00 "
10/09/2021, 253.20 , 254.20 , 244.84 , 245.42 , 245.42 ," 45,552,600.00 "
13/09/2021, 246.74 , 248.26 , 236.28 , 247.67 , 247.67 ," 68,857,500.00 "
14/09/2021, 247.52 , 251.49 , 245.47 , 248.16 , 248.16 ," 55,574,700.00 "
15/09/2021, 248.33 , 252.29 , 246.12 , 251.94 , 251.94 ," 46,073,100.00 "
16/09/2021, 250.94 , 252.97 , 249.20 , 252.33 , 252.33 ," 41,770,200.00 "
17/09/2021, 252.38 , 253.68 , 250.00 , 253.16 , 253.16 ," 84,612,600.00 "
20/09/2021, 244.85 , 247.33 , 239.54 , 243.39 , 243.39 ," 74,273,100.00 "
21/09/2021, 244.93 , 248.25 , 243.48 , 246.46 , 246.46 ," 48,992,100.00 "
22/09/2021, 247.84 , 251.22 , 246.37 , 250.65 , 250.65 ," 45,378,900.00 "
23/09/2021, 251.67 , 252.73 , 249.31 , 251.21 , 251.21 ," 35,842,500.00 "
24/09/2021, 248.63 , 258.27 , 248.19 , 258.13 , 258.13 ," 64,119,000.00 "
27/09/2021, 257.71 , 266.33 , 256.44 , 263.79 , 263.79 ," 84,212,100.00 "
28/09/2021, 262.40 , 265.21 , 255.39 , 259.19 , 259.19 ," 76,144,200.00 "
29/09/2021, 259.93 , 264.50 , 256.89 , 260.44 , 260.44 ," 62,828,700.00 "
30/09/2021, 260.33 , 263.04 , 258.33 , 258.49 , 258.49 ," 53,868,000.00 "
01/10/2021, 259.47 , 260.26 , 254.53 , 258.41 , 258.41 ," 51,094,200.00 "
04/10/2021, 265.50 , 268.99 , 258.71 , 260.51 , 260.51 ," 91,449,900.00 "
05/10/2021, 261.60 , 265.77 , 258.07 , 260.20 , 260.20 ," 55,297,800.00 "
06/10/2021, 258.73 , 262.22 , 257.74 , 260.92 , 260.92 ," 43,898,400.00 "
07/10/2021, 261.82 , 268.33 , 261.13 , 264.54 , 264.54 ," 57,587,400.00 "
08/10/2021, 265.40 , 265.46 , 260.30 , 261.83 , 261.83 ," 50,215,800.00 "
11/10/2021, 262.55 , 267.08 , 261.83 , 263.98 , 263.98 ," 42,600,900.00 "
12/10/2021, 266.98 , 270.77 , 265.52 , 268.57 , 268.57 ," 66,060,000.00 "
13/10/2021, 270.16 , 271.80 , 268.59 , 270.36 , 270.36 ," 42,360,300.00 "
14/10/2021, 271.83 , 273.42 , 271.12 , 272.77 , 272.77 ," 36,741,600.00 "
15/10/2021, 274.58 , 281.07 , 274.12 , 281.01 , 281.01 ," 56,773,800.00 "
18/10/2021, 283.93 , 291.75 , 283.82 , 290.04 , 290.04 ," 72,621,600.00 "
19/10/2021, 292.51 , 292.65 , 287.50 , 288.09 , 288.09 ," 52,143,300.00 "
20/10/2021, 288.45 , 289.83 , 285.79 , 288.60 , 288.60 ," 42,096,300.00 "
21/10/2021, 285.33 , 300.00 , 285.17 , 298.00 , 298.00 ," 94,444,500.00 "
22/10/2021, 298.50 , 303.33 , 296.99 , 303.23 , 303.23 ," 68,642,400.00 "
25/10/2021, 316.84 , 348.34 , 314.73 , 341.62 , 341.62 ," 188,556,300.00 "
26/10/2021, 341.56 , 364.98 , 333.81 , 339.48 , 339.48 ," 187,245,000.00 "
27/10/2021, 346.55 , 356.96 , 343.59 , 345.95 , 345.95 ," 115,579,500.00 "
28/10/2021, 356.10 , 360.33 , 351.40 , 359.01 , 359.01 ," 81,639,600.00 "
29/10/2021, 360.62 , 371.74 , 357.74 , 371.33 , 371.33 ," 89,755,200.00 "
01/11/2021, 381.67 , 403.25 , 372.89 , 402.86 , 402.86 ," 168,146,100.00 "
02/11/2021, 386.45 , 402.86 , 382.00 , 390.67 , 390.67 ," 128,213,400.00 "
03/11/2021, 392.44 , 405.13 , 384.21 , 404.62 , 404.62 ," 103,885,500.00 "
04/11/2021, 411.47 , 414.50 , 405.67 , 409.97 , 409.97 ," 76,192,200.00 "
